Applied time(s),Measured Current(A)
0.0,5.63664e-10
0.999999,3.7577600000000004e-10
1.9999989999999999,3.7577600000000004e-10
2.999999,6.76397e-10
3.999999,8.7368e-10
4.999999,7.703410000000001e-10
5.999999,8.07919e-10
6.999999,8.7368e-10
7.999999,7.045800000000001e-10
8.999998999999999,6.29425e-10
9.999998999999999,1.0991450000000001e-09
10.999998999999999,6.10636e-10
11.999998999999999,6.670030000000001e-10
12.999998999999999,6.48214e-10
13.999998999999999,4.4153700000000003e-10
14.999998999999999,7.985240000000001e-10
15.999998999999999,6.670030000000001e-10
16.999997999999998,8.361020000000001e-10
17.999997999999998,7.13975e-10
18.999997999999998,7.703410000000001e-10
Average,7.25248e-10
