Applied time(s),Measured Current(A)
0.0,0.0
0.999999,0.0
1.9999989999999999,0.0
2.999999,1.40916e-10
3.999999,1.3152173600000002e-10
4.999999,1.40916e-10
5.999999,9.39441e-13
6.999999,9.39441e-13
7.999999,9.39441e-13
8.999998999999999,9.39441e-13
9.999998999999999,1.878882e-12
10.999998999999999,9.39441e-13
11.999998999999999,0.0
12.999998999999999,9.39441e-13
13.999998999999999,9.39441e-13
14.999998999999999,9.39441e-13
15.999998999999999,9.39441e-13
16.999997999999998,9.39441e-13
17.999997999999998,9.39441e-13
18.999997999999998,9.39441e-13
