Applied time(s),Measured Current(A)
0.0,-9.394409600000001e-11
0.999999,-9.394409600000001e-11
1.9999989999999999,-9.394409600000001e-11
2.999999,8.454968800000001e-11
3.999999,9.394409600000001e-11
4.999999,8.454968800000001e-11
5.999999,0.0
6.999999,0.0
7.999999,9.39441e-13
8.999998999999999,9.39441e-13
9.999998999999999,9.39441e-13
10.999998999999999,0.0
11.999998999999999,9.39441e-13
12.999998999999999,9.39441e-13
13.999998999999999,9.39441e-13
14.999998999999999,9.39441e-13
15.999998999999999,9.39441e-13
16.999997999999998,9.39441e-13
17.999997999999998,9.39441e-13
18.999997999999998,9.39441e-13
