Applied time(s),Measured Current(A)
0.0,9.394409600000001e-11
0.999999,9.394409600000001e-11
1.9999989999999999,9.394409600000001e-11
2.999999,1.7849300000000002e-10
3.999999,1.69099e-10
4.999999,1.7849300000000002e-10
5.999999,1.7849300000000002e-10
6.999999,1.7849300000000002e-10
7.999999,1.8788800000000002e-10
8.999998999999999,1.97282e-10
9.999998999999999,1.8788800000000002e-10
10.999998999999999,1.7849300000000002e-10
11.999998999999999,1.7849300000000002e-10
12.999998999999999,1.97282e-10
13.999998999999999,1.7849300000000002e-10
14.999998999999999,1.97282e-10
15.999998999999999,1.8788800000000002e-10
16.999997999999998,2.06677e-10
17.999997999999998,1.8788800000000002e-10
18.999997999999998,1.8788800000000002e-10
19.999997999999998,1.97282e-10
20.999997999999998,1.7849300000000002e-10
21.999997999999998,1.8788800000000002e-10
22.999997999999998,1.8788800000000002e-10
23.999997999999998,1.8788800000000002e-10
24.999997999999998,1.69099e-10
25.999997999999998,1.8788800000000002e-10
26.999997999999998,1.8788800000000002e-10
27.999997999999998,1.8788800000000002e-10
28.999997999999998,1.8788800000000002e-10
29.999997999999998,2.06677e-10
30.999997999999998,1.8788800000000002e-10
31.999997999999998,1.8788800000000002e-10
32.999998,1.97282e-10
33.999995999999996,1.8788800000000002e-10
34.999995999999996,1.8788800000000002e-10
35.999995999999996,1.97282e-10
36.999995999999996,1.8788800000000002e-10
37.999995999999996,1.97282e-10
38.999995999999996,1.8788800000000002e-10
39.999995999999996,1.7849300000000002e-10
40.999995999999996,2.1607100000000002e-10
41.999995999999996,1.97282e-10
42.999995999999996,1.97282e-10
43.999995999999996,2.1607100000000002e-10
44.999995999999996,1.97282e-10
45.999995999999996,1.8788800000000002e-10
46.999995999999996,1.7849300000000002e-10
47.999995999999996,1.7849300000000002e-10
48.999995999999996,1.8788800000000002e-10
49.999995999999996,1.7849300000000002e-10
50.999995999999996,1.8788800000000002e-10
51.999995999999996,1.8788800000000002e-10
52.999995999999996,1.7849300000000002e-10
53.999995999999996,0.0
54.999995999999996,1.8788800000000002e-10
55.999995999999996,1.8788800000000002e-10
56.999995999999996,2.06677e-10
57.999995999999996,1.97282e-10
58.999995999999996,1.97282e-10
59.999995999999996,8.454968800000001e-11
60.999995999999996,1.8788800000000002e-10
61.999995999999996,1.97282e-10
62.999995999999996,1.97282e-10
63.999995999999996,2.06677e-10
64.999996,2.06677e-10
65.999996,2.1607100000000002e-10
66.999996,1.5031000000000002e-10
67.99999199999999,2.1607100000000002e-10
68.99999199999999,1.97282e-10
69.99999199999999,1.97282e-10
70.99999199999999,2.06677e-10
71.99999199999999,1.8788800000000002e-10
72.99999199999999,1.8788800000000002e-10
73.99999199999999,2.06677e-10
74.99999199999999,1.97282e-10
75.99999199999999,1.97282e-10
76.99999199999999,1.97282e-10
77.99999199999999,1.97282e-10
78.99999199999999,1.8788800000000002e-10
79.99999199999999,1.7849300000000002e-10
80.99999199999999,1.8788800000000002e-10
81.99999199999999,1.8788800000000002e-10
82.99999199999999,1.7849300000000002e-10
83.99999199999999,1.97282e-10
84.99999199999999,1.8788800000000002e-10
85.99999199999999,9.39441e-13
86.99999199999999,2.818323e-12
87.99999199999999,1.878882e-12
88.99999199999999,-7.515528e-12
89.99999199999999,9.39441e-13
90.99999199999999,9.39441e-13
91.99999199999999,0.0
92.99999199999999,-3.1940994e-11
93.99999199999999,4.697205e-12
94.99999199999999,3.9456520000000006e-11
95.99999199999999,1.4655200000000002e-10
96.99999199999999,3.2504600000000005e-10
97.99999199999999,1.39976e-10
98.99999199999999,6.482142400000001e-11
99.99999199999999,-2.1607142e-11
100.99999199999999,9.39441e-13
101.99999199999999,-9.39441e-13
102.99999199999999,3.757764e-12
103.99999199999999,-9.39441e-13
104.99999199999999,5.7305900000000005e-11
105.99999199999999,8.079192000000001e-11
106.99999199999999,2.06677e-10
107.99999199999999,-5.3548132000000006e-11
108.99999199999999,-5.1669256000000004e-11
109.99999199999999,-3.3819872e-11
110.99999199999999,-8.454968e-12
111.99999199999999,-5.636646e-12
112.99999199999999,2.4425464000000002e-11
113.99999199999999,2.818323e-12
114.99999199999999,-9.39441e-13
115.99999199999999,-2.818323e-12
116.99999199999999,0.0
117.99999199999999,-9.39441e-13
118.99999199999999,-5.6366460000000007e-11
