Applied Potential(V),Measured Current(A)
0.0,1.7849378e-08
0.010007779000000001,1.6909936e-08
0.020015558000000003,1.7849378e-08
0.030023338000000004,1.7849378e-08
0.040031116000000005,1.5970495000000002e-08
0.050038896000000006,1.8788818000000002e-08
0.06004667600000001,1.7849378e-08
0.070054456,1.8788818000000002e-08
0.08006223200000001,1.6909936e-08
0.09007000800000001,1.6909936e-08
0.10007779200000001,1.7849378e-08
0.11008556800000001,1.9728258000000003e-08
0.12009335200000001,1.9728258000000003e-08
0.130101128,1.8788818000000002e-08
0.14010799999999998,1.9728258000000003e-08
0.150116,1.5970495000000002e-08
0.160124,1.8788818000000002e-08
0.170132,1.7849378e-08
0.18014,1.7849378e-08
0.19014699999999998,1.8788818000000002e-08
0.200155,1.7849378e-08
0.210163,1.8788818000000002e-08
0.22017099999999998,1.8788818000000002e-08
0.230178,1.8788818000000002e-08
0.24018599999999998,1.8788818000000002e-08
0.25019399999999997,1.8788818000000002e-08
0.260202,1.7849378e-08
0.27021,1.6909936e-08
0.280217,1.8788818000000002e-08
0.290225,1.7849378e-08
0.30023299999999997,1.8788818000000002e-08
0.310241,1.9728258000000003e-08
0.320248,1.7849378e-08
0.330256,1.8788818000000002e-08
0.340264,1.8788818000000002e-08
0.350272,1.9728258000000003e-08
0.36028,1.7849378e-08
0.370287,1.7849378e-08
0.380295,1.8788818000000002e-08
0.39030299999999996,1.8788818000000002e-08
0.400311,1.5031054e-08
0.41031799999999996,1.8788818000000002e-08
0.420326,1.6909936e-08
0.430334,1.6909936e-08
0.44034199999999996,1.5970495000000002e-08
0.45035,1.8788818000000002e-08
0.46035699999999996,1.6909936e-08
0.470365,1.8788818000000002e-08
0.480373,1.7849378e-08
0.49038099999999996,1.7849378e-08
0.5003879999999999,1.7849378e-08
0.510396,1.8788818000000002e-08
0.520404,1.8788818000000002e-08
0.530412,1.6909936e-08
0.54042,1.5970495000000002e-08
0.550427,1.7849378e-08
0.560435,1.5970495000000002e-08
0.5704429999999999,1.8788818000000002e-08
0.5804509999999999,1.7849378e-08
0.5904579999999999,1.8788818000000002e-08
0.6004659999999999,1.7849378e-08
0.610474,1.9728258000000003e-08
0.620482,1.5970495000000002e-08
0.63049,1.8788818000000002e-08
0.640497,1.6909936e-08
0.650505,1.8788818000000002e-08
0.660513,1.9728258000000003e-08
0.6705209999999999,1.7849378e-08
0.680528,1.8788818000000002e-08
0.6905359999999999,1.8788818000000002e-08
0.700544,2.1607142000000002e-08
0.710552,1.7849378e-08
0.72056,2.1607142000000002e-08
0.730567,1.8788818000000002e-08
0.740575,1.8788818000000002e-08
0.750583,1.7849378e-08
0.760591,1.7849378e-08
0.770598,1.8788818000000002e-08
0.7806059999999999,1.7849378e-08
0.7906139999999999,1.9728258000000003e-08
0.800622,1.7849378e-08
0.81063,1.7849378e-08
0.820637,1.7849378e-08
0.830645,1.8788818000000002e-08
0.840653,1.7849378e-08
0.850661,1.7849378e-08
0.860668,1.5970495000000002e-08
0.870676,1.8788818000000002e-08
0.8806839999999999,1.6909936e-08
0.8906919999999999,1.6909936e-08
0.9007,1.6909936e-08
0.9107069999999999,1.8788818000000002e-08
0.920715,1.6909936e-08
0.930723,1.7849378e-08
0.940731,1.7849378e-08
0.950738,1.7849378e-08
0.960746,1.8788818000000002e-08
0.970754,1.5970495000000002e-08
0.9807619999999999,1.5970495000000002e-08
0.9907699999999999,1.7849378e-08
1.000777,1.5970495000000002e-08
1.010785,1.8788818000000002e-08
1.020793,1.6909936e-08
1.0308009999999999,1.7849378e-08
1.0408089999999999,1.5970495000000002e-08
1.050816,1.5970495000000002e-08
1.060824,1.6909936e-08
1.070832,1.6909936e-08
1.08084,1.7849378e-08
1.090847,1.6909936e-08
1.100855,1.7849378e-08
1.110863,1.7849378e-08
1.120871,1.7849378e-08
1.130879,1.7849378e-08
1.1408859999999998,1.8788818000000002e-08
1.1508939999999999,1.7849378e-08
1.1609019999999999,1.8788818000000002e-08
1.17091,1.5970495000000002e-08
1.180917,1.7849378e-08
1.190925,1.6909936e-08
1.200933,1.6909936e-08
1.210941,1.8788818000000002e-08
1.2209489999999998,1.6909936e-08
1.230956,1.7849378e-08
1.240964,1.5970495000000002e-08
1.250972,1.5970495000000002e-08
1.26098,1.6909936e-08
1.2709869999999999,1.5970495000000002e-08
