Applied Potential(V),Measured Current(A)
0.0,1.69099e-10
0.010007779000000001,1.69099e-10
0.020015558000000003,1.59704e-10
0.030023338000000004,1.69099e-10
0.040031116000000005,1.7849300000000002e-10
0.050038896000000006,1.7849300000000002e-10
0.06004667600000001,1.59704e-10
0.070054456,1.69099e-10
0.08006223200000001,1.7849300000000002e-10
0.09007000800000001,1.7849300000000002e-10
0.10007779200000001,1.59704e-10
0.11008556800000001,1.7849300000000002e-10
0.12009335200000001,1.8788800000000002e-10
0.130101128,1.7849300000000002e-10
0.14010799999999998,1.97282e-10
0.150116,1.69099e-10
0.160124,1.7849300000000002e-10
0.170132,1.97282e-10
0.18014,1.8788800000000002e-10
0.19014699999999998,1.8788800000000002e-10
0.200155,2.06677e-10
0.210163,1.8788800000000002e-10
0.22017099999999998,1.97282e-10
0.230178,1.8788800000000002e-10
0.24018599999999998,1.69099e-10
0.25019399999999997,1.97282e-10
0.260202,1.8788800000000002e-10
0.27021,1.7849300000000002e-10
0.280217,1.8788800000000002e-10
0.290225,2.06677e-10
0.30023299999999997,1.7849300000000002e-10
0.310241,1.69099e-10
0.320248,1.8788800000000002e-10
0.330256,1.8788800000000002e-10
0.340264,1.97282e-10
0.350272,1.7849300000000002e-10
0.36028,1.7849300000000002e-10
0.370287,1.69099e-10
0.380295,1.69099e-10
0.39030299999999996,1.5031000000000002e-10
0.400311,1.5031000000000002e-10
0.41031799999999996,1.59704e-10
0.420326,1.59704e-10
0.430334,1.69099e-10
0.44034199999999996,1.5031000000000002e-10
0.45035,1.7849300000000002e-10
0.46035699999999996,1.5031000000000002e-10
0.470365,1.59704e-10
0.480373,1.69099e-10
0.49038099999999996,1.59704e-10
0.5003879999999999,1.40916e-10
0.510396,1.40916e-10
0.520404,1.40916e-10
0.530412,1.40916e-10
0.54042,1.59704e-10
0.550427,1.3152173600000002e-10
0.560435,1.40916e-10
0.5704429999999999,1.3152173600000002e-10
0.5804509999999999,1.3152173600000002e-10
0.5904579999999999,1.40916e-10
0.6004659999999999,1.3152173600000002e-10
0.610474,1.1273292000000001e-10
0.620482,1.2212732e-10
0.63049,1.2212732e-10
0.640497,1.1273292000000001e-10
0.650505,1.1273292000000001e-10
0.660513,9.394409600000001e-11
0.6705209999999999,1.1273292000000001e-10
0.680528,1.0333851200000001e-10
0.6905359999999999,9.394409600000001e-11
0.700544,9.394409600000001e-11
0.710552,1.1273292000000001e-10
0.72056,1.0333851200000001e-10
0.730567,8.454968800000001e-11
0.740575,8.454968800000001e-11
0.750583,9.394409600000001e-11
0.760591,6.576086800000001e-11
0.770598,9.394409600000001e-11
0.7806059999999999,1.0333851200000001e-10
0.7906139999999999,1.0333851200000001e-10
0.800622,7.515528e-11
0.81063,1.0333851200000001e-10
0.820637,1.0333851200000001e-10
0.830645,9.394409600000001e-11
0.840653,8.454968800000001e-11
0.850661,8.454968800000001e-11
0.860668,9.394409600000001e-11
0.870676,9.394409600000001e-11
0.8806839999999999,7.515528e-11
0.8906919999999999,5.6366460000000007e-11
0.9007,6.576086800000001e-11
0.9107069999999999,7.515528e-11
0.920715,7.515528e-11
0.930723,7.515528e-11
0.940731,7.515528e-11
0.950738,8.454968800000001e-11
0.960746,8.454968800000001e-11
0.970754,9.394409600000001e-11
0.9807619999999999,9.394409600000001e-11
0.9907699999999999,9.394409600000001e-11
1.000777,8.454968800000001e-11
1.010785,8.454968800000001e-11
1.020793,6.576086800000001e-11
1.0308009999999999,7.515528e-11
1.0408089999999999,9.394409600000001e-11
1.050816,9.394409600000001e-11
1.060824,9.394409600000001e-11
1.070832,9.394409600000001e-11
1.08084,9.394409600000001e-11
1.090847,1.0333851200000001e-10
1.100855,7.515528e-11
1.110863,9.394409600000001e-11
1.120871,9.394409600000001e-11
1.130879,1.1273292000000001e-10
1.1408859999999998,1.0333851200000001e-10
1.1508939999999999,1.1273292000000001e-10
1.1609019999999999,1.1273292000000001e-10
1.17091,1.1273292000000001e-10
1.180917,1.0333851200000001e-10
1.190925,1.0333851200000001e-10
1.200933,9.394409600000001e-11
1.210941,1.2212732e-10
1.2209489999999998,1.0333851200000001e-10
